,customer,weight,round,length
0,[8],[15],0,95.4308626804
1,[11],[15],0,179.658640815
2,[8],[15],0,95.4308626804
3,"[11, 8]","[6, 9]",0,275.0895034957
4,[11],[15],1,179.658640815
5,[11],[15],1,179.658640815
6,[11],[15],1,179.658640815
7,[11],[15],1,179.658640815
8,[11],[15],2,179.658640815
9,[11],[15],2,179.658640815
10,[11],[15],2,179.658640815
11,[11],[15],2,179.658640815
12,[11],[15],3,179.658640815
13,[11],[15],3,179.658640815
14,[11],[15],3,179.658640815
15,[11],[15],3,179.658640815
16,"[72, 111, 73, 71, 70, 13, 11]","[1, 3, 2, 1, 1, 1, 6]",4,1294.7526159925
17,"[7, 44, 43, 35, 0, 113, 45, 46, 53, 79, 108, 97, 16, 19]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4,4845.292503754999
18,[11],[14],4,179.658640815
19,[11],[15],4,179.658640815
